num,total,perc,name
5,170,2.9412,嘉定
7,460,1.5217,闸北
20,1653,1.2099,浦东
9,744,1.2097,杨浦
9,905,0.9945,闵行
5,509,0.9823,虹口
4,494,0.8097,宝山
1,126,0.7937,松江
4,504,0.7937,黄浦
4,509,0.7859,长宁
4,638,0.6270,徐汇
2,428,0.4673,静安
1,976,0.1025,普陀
0,43,0.0000,青浦
0,18,0.0000,奉贤
